렌즈,모드,조건,캘리브레이션 거리(mm),사용 거리(mm),기하,거리조절,가로 조준오차(%),세로 조준오차(%),평균(%),최악(%),끝에 붙은 표본,커서 없던 표본,거리 비율
광각 90도,제자리,기하 켬 · 거리조절 켬,700,700,1,1,0.936,1.215,1.076,2.349,0,0,1.0014
광각 90도,제자리,기하 켬 · 거리조절 켬,900,900,1,1,6.272,5.379,5.826,9.752,0,0,1.0016
광각 90도,제자리,기하 켬 · 거리조절 켬,1200,1200,1,1,11.013,10.156,10.585,17.383,0,0,1.0019
광각 90도,이동,기하 켬 · 거리조절 끔,700,400,1,0,13.158,13.643,13.4,19.937,4,0,0.575
광각 90도,이동,기하 켬 · 거리조절 끔,700,500,1,0,8.715,9.316,9.015,12.5,4,0,0.7165
광각 90도,이동,기하 켬 · 거리조절 끔,700,600,1,0,3.309,4.246,3.777,6.85,0,0,0.8579
광각 90도,이동,기하 켬 · 거리조절 끔,700,700,1,0,0.934,1.214,1.074,2.37,0,0,1.0014
광각 90도,이동,기하 켬 · 거리조절 끔,700,900,1,0,6.289,5.382,5.836,9.831,0,0,1.2814
광각 90도,이동,기하 켬 · 거리조절 끔,700,1200,1,0,11.04,10.16,10.6,17.456,0,0,1.7039
광각 90도,이동,기하 켬 · 거리조절 켬,700,400,1,1,0.543,0.526,0.535,1.144,0,0,0.575
광각 90도,이동,기하 켬 · 거리조절 켬,700,500,1,1,0.668,0.68,0.674,1.24,0,0,0.7165
광각 90도,이동,기하 켬 · 거리조절 켬,700,600,1,1,0.804,0.92,0.862,1.742,0,0,0.8579
광각 90도,이동,기하 켬 · 거리조절 켬,700,700,1,1,0.936,1.215,1.076,2.349,0,0,1.0014
광각 90도,이동,기하 켬 · 거리조절 켬,700,900,1,1,1.186,1.951,1.568,3.861,0,0,1.2814
광각 90도,이동,기하 켬 · 거리조절 켬,700,1200,1,1,1.612,3.387,2.5,6.927,0,0,1.7039
