렌즈,입력,단계,시각(초),표본,가로 폭,결정계수,계수,통과,거절 이유,적용 뒤 계수
일반 65도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,40.53,480,0.4783,0.1888,0.0033,1,-,0.0037
일반 65도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,44.53,480,0.4787,0.1817,0.0099,1,-,0.0056
일반 65도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,48.53,480,0.4772,0.1419,0.0024,0,결정계수 미달,0.0056
일반 65도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,52.53,480,0.4785,0.1497,0.0001,0,결정계수 미달,0.0056
일반 65도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,56.53,480,0.4785,0.1447,-0.0025,0,결정계수 미달,0.0056
일반 65도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,60.53,480,0.4785,0.1561,-0.0072,1,-,0.0017
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,8.53,212,0.5055,0.6435,1.4063,1,-,0.4219
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,12.53,332,0.5055,0.1061,0.6661,0,결정계수 미달,0.4219
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,16.53,452,0.5764,0.1162,-1.3787,0,결정계수 미달,0.4219
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,20.53,452,0.5764,0.2478,-1.4188,1,-,-0.1303
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,24.53,464,0.5759,0.1476,-1.386,0,결정계수 미달,-0.1303
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,28.53,464,0.5759,0.2181,-2.0029,1,-,-0.6912
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,32.53,442,0.5552,0.1192,-0.792,0,결정계수 미달,-0.6912
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,36.53,442,0.5552,0.2144,-1.6217,1,-,-0.9704
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,40.53,431,0.5978,0.1244,-1.3396,0,결정계수 미달,-0.9704
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,44.53,431,0.5978,0.1191,-1.2791,0,결정계수 미달,-0.9704
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,48.53,409,0.5967,0.3412,-2.3045,1,-,-1.2793
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,52.53,409,0.5967,0.165,-1.339,1,-,-1.2972
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,56.53,436,0.585,0.2559,-2.3063,1,-,-1.508
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,60.53,436,0.585,0.2889,-2.3019,1,-,-1.6556
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,64.53,471,0.5868,0.2225,-1.5111,1,-,-1.6123
광각 90도,① 렌즈 비교 측정 그대로,예열 70초,68.53,471,0.5868,0.2179,-1.9774,1,-,-1.7218
광각 90도,① 렌즈 비교 측정 그대로,좌우 ±14° 훑기,72.53,471,0.563,0.1555,-1.3607,1,-,-1.6135
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,8.53,240,0.1208,nan,nan,0,가로 폭 부족,0.0
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,12.53,360,0.2279,0.1076,-9.464,0,결정계수 미달,0.0
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,16.53,480,0.3956,0.0085,0.6013,0,결정계수 미달,0.0
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,20.53,480,0.3956,0.0855,1.8078,0,결정계수 미달,0.0
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,24.53,480,0.4339,0.0228,-0.3871,0,결정계수 미달,0.0
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,28.53,480,0.4339,0.2081,-0.5485,1,-,-0.1645
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,32.53,480,0.3889,0.0121,-0.4348,0,결정계수 미달,-0.1645
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,36.53,480,0.3889,0.0321,1.5433,0,결정계수 미달,-0.1645
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,40.53,480,0.3622,0.0562,2.6891,0,결정계수 미달,-0.1645
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,44.53,480,0.3376,0.0665,0.0412,0,결정계수 미달,-0.1645
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,48.53,480,0.3241,0.2839,-4.7758,1,-,-0.7152
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,52.53,480,0.3759,0.0693,2.1639,0,결정계수 미달,-0.7152
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,56.53,480,0.4209,0.1049,0.5812,0,결정계수 미달,-0.7152
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,60.53,480,0.4209,0.1463,0.4631,0,결정계수 미달,-0.7152
광각 90도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,64.53,480,0.4209,0.192,-0.5795,1,-,-0.6745
